iter,lr_head,weight_decay,label_smoothing,objective,val_loss,val_acc
0,0.02957750460346155,2.6149631163425215e-06,0.16459576785564423,-1.0555017091666057,1.0555017091666057,0.9419108280254777
1,0.0003561283505756353,0.0008868910137513008,0.08952958881855011,-0.7371644874742836,0.7371644874742836,0.9403821656050956
2,0.0015536419502084444,2.662599483063779e-05,0.10208827257156372,-0.6872256291747852,0.6872256291747852,0.9635668789808918
3,0.006781428039714019,0.009025093853695682,0.027038514614105225,-0.32295264218263564,0.32295264218263564,0.9648407643312102
4,0.0022618031515349896,7.003145737769271e-05,0.056389279663562775,-0.4844977515822004,0.4844977515822004,0.9633121019108281
5,0.0005641226488102411,0.001780124480465219,0.18132953345775604,-1.0068107203465357,1.0068107203465357,0.9521019108280255
6,0.00014196046026620983,7.388833342032187e-06,0.01889447495341301,-0.9557207282485476,0.9557207282485476,0.8787261146496815
7,0.008986586508872508,0.00018791504141856823,0.1438259780406952,-0.8818789773078481,0.8818789773078481,0.9515923566878981
8,0.024023863870626397,0.0014134118762290683,0.017196104264466466,-0.49610719427181654,0.49610719427181654,0.9365605095541402
9,0.004113679779680274,0.01,0.001256952050149979,-0.1201542065022098,0.1201542065022098,0.9671337579617835
10,0.002063807168432222,0.01,0.0,-0.1576667498251435,0.1576667498251435,0.9543949044585988
11,0.0025629096250916234,0.01,0.0,-0.12500296177378126,0.12500296177378126,0.9650955414012738
12,0.002638879714877567,0.01,0.0,-0.12670607487107538,0.12670607487107538,0.96
13,0.002825942930509563,0.01,0.0,-0.12880145796544992,0.12880145796544992,0.9587261146496815
14,0.003960468649070871,0.01,0.0,-0.12055851178184436,0.12055851178184436,0.9612738853503184
15,0.003867664349924955,0.01,0.0,-0.10658617500286953,0.10658617500286953,0.9671337579617835
16,0.0044448763252359184,1e-06,0.0,-0.0995143171594401,0.0995143171594401,0.9684076433121019
17,0.003805215579634779,1e-06,0.0,-0.11552434844575869,0.11552434844575869,0.9620382165605096
18,0.0039761002366219475,1e-06,0.0,-0.1259872503227489,0.1259872503227489,0.9612738853503184
19,0.004505203853512162,0.01,0.0,-0.12569237129703448,0.12569237129703448,0.9638216560509554
20,0.0033975324965151523,1e-06,0.0,-0.10766052728625619,0.10766052728625619,0.9643312101910828
21,0.00366381733921494,1e-06,0.0,-0.11208656602984021,0.11208656602984021,0.9656050955414013
22,0.004204438135135907,1e-06,0.0,-0.11479317689397532,0.11479317689397532,0.9663694267515923
23,0.0031688965577689643,1e-06,0.0,-0.14384370098448104,0.14384370098448104,0.9554140127388535
24,0.005710078177898295,1e-06,0.0,-0.11047156580314514,0.11047156580314514,0.9638216560509554
25,0.004429474044838988,6.156889961628535e-05,0.0,-0.1180558106815739,0.1180558106815739,0.9643312101910828
26,0.005576537035976832,1e-06,0.0,-0.10938001120166414,0.10938001120166414,0.9648407643312102
27,0.005569811642511805,1e-06,0.0,-0.10813611518520458,0.10813611518520458,0.9661146496815287
28,0.00446038358244376,5.7655656162434916e-05,0.0,-0.10312646466075995,0.10312646466075995,0.9686624203821657
29,0.004452256270918912,5.764357263868867e-05,0.0,-0.09998305987780261,0.09998305987780261,0.9694267515923567
